>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCPA023_140mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_11.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_13.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_14.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B2_152_50.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_11.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_13.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_14.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC004_St_Louis_1906.B1_152_50.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCPA041_406mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 4.0, is 6.0)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJW009_Unknown.goldRetrainingPrice removed in second object
root.PJW009_Unknown.baseTrainingHirePrice removed in second object
root.PJW009_Unknown.moneyRetrainingPrice removed in second object
root.PJW009_Unknown.goldTrainingHirePrice removed in second object
root.PJW009_Unknown.moneyTrainingHirePrice removed in second object
root.PJGM127_410mm45_Type3_RF_old.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM091_6in53_Mk13_Single.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCPA003_76mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PGGM031_203mm_C34_RF.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM133_5in51_Mk_7_mod2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC034_Zao_1944.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC034_Zao_1944.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC034_Zao_1944.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC034_Zao_1944.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA021_Shell_127mm_AP_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PASC045_Marblehead_1924_Asus.permoflages[0] changed in second object (was PAEP445_Marblehead_1924_Asus, is PCEP103_Permo_Prem_Low_lvl)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC045_Marblehead_1924_Asus.nativePermoflage changed in second object (was PAEP445_Marblehead_1924_Asus, is PCEP103_Permo_Prem_Low_lvl)
root.PRGM040_6in45_Cane.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.permoflages[0] changed in second object (was PGEP408_Hipper, is PCEP118_Permo_Upgr_8_lvl)
root.PGSC108_Hipper.A1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.A1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.A1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.A1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.B1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.B1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.B1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.B1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.C1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.C1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.C1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC108_Hipper.C1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM130_4in50_Twin_Mount.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM030_155mm50_Type_91_RF.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCGM500_406_52_SKC34_Barbara.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA052_356mm_HE_Common_1400lbs.bulletCapNormalizeMaxAngle changed in second object (was 5.25, is 8.0)
root.PAGM095_4in50_Mk12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM121_203mm.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB013_Arkansas_1912.permoflages[0] changed in second object (was PAEP313_Arkansas_1912, is PCEP103_Permo_Prem_Low_lvl)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB013_Arkansas_1912.nativePermoflage changed in second object (was PAEP313_Arkansas_1912, is PCEP103_Permo_Prem_Low_lvl)
root.PGPA028_105MM_AP_EMDEN.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PRPA009_102MM_AP_1915.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PJSB802_False_Ally_Kawachi_1912.B2_305_50.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB802_False_Ally_Kawachi_1912.B2_305_50.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB802_False_Ally_Kawachi_1912.B2_305_50.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB802_False_Ally_Kawachi_1912.B2_305_50.HP_JGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB802_False_Ally_Kawachi_1912.B2_305_50.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB802_False_Ally_Kawachi_1912.B2_305_50.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM123_8in55_Mk14_Mod2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PFPA001_330MM_AP_D.bulletCapNormalizeMaxAngle changed in second object (was 5.25, is 6.0)
root.PJSB008_Ishizuchi_1921.permoflages[0] changed in second object (was PJEP308_Ishizuchi_1921, is PCEP103_Permo_Prem_Low_lvl)
root.PJSB008_Ishizuchi_1921.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB008_Ishizuchi_1921.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB008_Ishizuchi_1921.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB008_Ishizuchi_1921.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB008_Ishizuchi_1921.ArtilleryDefault.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB008_Ishizuchi_1921.group changed in second object (was special, is premium)
root.PJSB008_Ishizuchi_1921.nativePermoflage changed in second object (was PJEP308_Ishizuchi_1921, is PCEP103_Permo_Prem_Low_lvl)
root.PGPA001_380mm_AP_APC_L_4_4.bulletCapNormalizeMaxAngle changed in second object (was 5.05, is 6.0)
root.PGSC105_Konigsberg.A1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC105_Konigsberg.A1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC105_Konigsberg.A1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[0] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[1] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[2] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[3] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[4] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[5] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[6] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[7] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[8] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_3.miscFilter[9] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[0] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[1] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[2] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[3] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[4] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[5] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[6] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[7] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[8] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[9] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_2.miscFilter[10] removed in first object
root.PGSC105_Konigsberg.B1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PWSD501_Blyskawica.permoflages[0] changed in second object (was PWEP501_Blyskawica, is PCEP107_Permo_Prem_High_lvl)
root.PWSD501_Blyskawica.ArtilleryDefault.HP_WGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PWSD501_Blyskawica.ArtilleryDefault.HP_WGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PWSD501_Blyskawica.ArtilleryDefault.HP_WGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PWSD501_Blyskawica.ArtilleryDefault.HP_WGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PWSD501_Blyskawica.nativePermoflage changed in second object (was PWEP501_Blyskawica, is PCEP107_Permo_Prem_High_lvl)
root.PWSD501_Blyskawica.groupCustom.NA changed in second object (was special, is premium)
root.PWSD501_Blyskawica.groupCustom.CN changed in second object (was special, is premium)
root.PWSD501_Blyskawica.groupCustom.ASIA changed in second object (was special, is premium)
root.PWSD501_Blyskawica.groupCustom.RU changed in second object (was special, is premium)
root.PJSC837_False_Hashidate_1940.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC837_False_Hashidate_1940.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC837_False_Hashidate_1940.HullDefault.health changed in second object (was 8300.0, is 4150.0)
root.PGGM037_380mm45_SK_L45.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCGM059_16in45_Mk1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM110_127mm50_Type_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.AB1_127_38.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.AB1_127_38.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.AB1_127_38.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.AB1_127_38.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.AB1_127_38.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.C1_127_38.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.C1_127_38.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.C1_127_38.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD005_Farragut_1944.C1_127_38.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM134_305mm40_type_armstrong.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.permoflages[0] changed in second object (was PREP410_Diana_1905_Asus, is PCEP103_Permo_Prem_Low_lvl)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC010_Diana_1905_Asus.nativePermoflage changed in second object (was PREP410_Diana_1905_Asus, is PCEP103_Permo_Prem_Low_lvl)
